List of functions with unknown behavior (and their header files)

    ControlsTab::#constructor;    D:\Klocwork_Training\notepad-plus-plus-master\notepad-plus-plus-master\PowerEditor\src\WinControls\TabBar\ControlsTab.h
<SYSTEM>    SetForegroundWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetLastError;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\errhandlingapi.h
<SYSTEM>    SetMenu;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetMenuItemInfoW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetParent;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetPropW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetROP2;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetRectEmpty;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetScrollInfo;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetScrollPos;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetScrollRange;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetTextAlign;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetTextColor;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetWindowLongPtrW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetWindowOrgEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    SetWindowPlacement;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetWindowPos;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SetWindowTextW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    Shell_NotifyIconW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\shellapi.h
<SYSTEM>    ShowCaret;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ShowCursor;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ShowScrollBar;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    ShowWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SizeofResource;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\libloaderapi.h
<SYSTEM>    StartDocW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    StartPage;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    StretchBlt;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\wingdi.h
<SYSTEM>    StringFromCLSID;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    StringFromGUID2;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\combaseapi.h
<SYSTEM>    SystemParametersInfoW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    SystemTimeToVariantTime;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    ToAscii;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    TrackMouseEvent;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    TrackPopupMenu;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    TranslateAcceleratorW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    TranslateMessage;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    TryEnterCriticalSection;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\synchapi.h
<SYSTEM>    UnhookWindowsHookEx;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    UnregisterClassW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    UpdateWindow;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinUser.h
<SYSTEM>    VarBstrCat;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VarBstrCmp;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VarCmp;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VarUI4FromStr;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VariantChangeType;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VariantClear;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VariantCopy;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VariantInit;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VariantTimeToSystemTime;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VectorFromBstr;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\OleAuto.h
<SYSTEM>    VerQueryValueW;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winver.h
<SYSTEM>    WinVerifyTrust;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\WinTrust.h
<SYSTEM>    WriteClassStm;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\Ole2.h
<SYSTEM>    _Cnd_broadcast;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_destroy;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_destroy_in_situ;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_do_broadcast_at_thread_exit;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_init;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_init_in_situ;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_register_at_thread_exit;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_signal;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_timedwait;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_unregister_at_thread_exit;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Cnd_wait;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _CrtDbgReportW;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\crtdbg.h
<SYSTEM>    _CrtSetReportHook;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\crtdbg.h
<SYSTEM>    _Getcoll;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Getctype;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Getcvt;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Getdateorder;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Getdays;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Getmonths;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Gettnames;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Getwctype;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _InterlockedCompareExchange;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\intrin.h
<SYSTEM>    _InterlockedDecrement;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\intrin.h
<SYSTEM>    _InterlockedExchangeAdd;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    _InterlockedExchangeAdd64;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    _InterlockedExchangePointer;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    _InterlockedIncrement;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\intrin.h
<SYSTEM>    _Lock_shared_ptr_spin_lock;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xatomic0.h
<SYSTEM>    _Mbrtowc;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Mtx_current_owns;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_destroy;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_destroy_in_situ;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_getconcrtcs;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_init;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_init_in_situ;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_lock;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_timedlock;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_trylock;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Mtx_unlock;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Query_perf_counter;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xtimec.h
<SYSTEM>    _Query_perf_frequency;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xtimec.h
<SYSTEM>    _Thrd_detach;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Thrd_hardware_concurrency;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Thrd_id;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Thrd_join;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Thrd_sleep;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Thrd_start;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthrcommon.h
<SYSTEM>    _Thrd_yield;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xthreads.h
<SYSTEM>    _Unlock_shared_ptr_spin_lock;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xatomic0.h
<SYSTEM>    _W_Getdays;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _W_Getmonths;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _W_Gettnames;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Wcrtomb;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\xlocinfo.h
<SYSTEM>    _Xtime_get_ticks;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\thr\xtimec.h
<SYSTEM>    __ExceptionPtrAssign;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrCompare;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrCopy;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrCopyException;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrCreate;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrCurrentException;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrDestroy;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrRethrow;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrSwap;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __ExceptionPtrToBool;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\exception
<SYSTEM>    __acrt_iob_func;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __conio_common_vcwprintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wconio.h
<SYSTEM>    __conio_common_vcwprintf_p;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wconio.h
<SYSTEM>    __conio_common_vcwprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wconio.h
<SYSTEM>    __conio_common_vcwscanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wconio.h
<SYSTEM>    __readgsqword;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    __shiftright128;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    __std_exception_copy;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\vcruntime_exception.h
<SYSTEM>    __std_exception_destroy;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\vcruntime_exception.h
<SYSTEM>    __std_type_info_compare;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\vcruntime_typeinfo.h
<SYSTEM>    __std_type_info_hash;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\vcruntime_typeinfo.h
<SYSTEM>    __std_type_info_name;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\vcruntime_typeinfo.h
<SYSTEM>    __stdio_common_vfprintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vfprintf_p;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vfprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vfscanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vfwprintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vfwprintf_p;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vfwprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vfwscanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vsnprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vsnwprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vsprintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vsprintf_p;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vsprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vsscanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    __stdio_common_vswprintf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vswprintf_p;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vswprintf_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stdio_common_vswscanf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdio.h
<SYSTEM>    __stosb;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    __uncaught_exception;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\atlmfc\include\atltransactionmanager.h
<SYSTEM>    __va_start;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\vadefs.h
<SYSTEM>    _beginthreadex;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\process.h
<SYSTEM>    _chgsign;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _chvalidator_l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\ctype.h
<SYSTEM>    _copysign;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _create_locale;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\locale.h
<SYSTEM>    _ctime64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _difftime64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _dpcomp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _dsign;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _dtest;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _exception_code;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\excpt.h
<SYSTEM>    _fdpcomp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _fdsign;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _fdtest;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _free_dbg;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\crtdbg.h
<SYSTEM>    _free_locale;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\locale.h
<SYSTEM>    _fseeki64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    _fstat64i32;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\sys\stat.h
<SYSTEM>    _ftelli64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    _gcvt_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _get_errno;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _get_stream_buffer_pointers;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdio.h
<SYSTEM>    _get_terminate;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_terminate.h
<SYSTEM>    _get_unexpected;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\eh.h
<SYSTEM>    _gmtime64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _gmtime64_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _hypot;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _hypotf;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _i64toa_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _i64tow_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _invalid_parameter;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt.h
<SYSTEM>    _invalid_parameter_noinfo;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt.h
<SYSTEM>    _isctype_l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\ctype.h
<SYSTEM>    _itoa_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _itow_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _ldpcomp;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _ldsign;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _ldtest;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\math.h
<SYSTEM>    _localtime64_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _ltoa_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _ltow_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _mbslwr_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\mbstring.h
<SYSTEM>    _mbspbrk;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\mbstring.h
<SYSTEM>    _mbspbrk_l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\mbstring.h
<SYSTEM>    _mbsstr;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\mbstring.h
<SYSTEM>    _mbsstr_l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\mbstring.h
<SYSTEM>    _mbsupr_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\mbstring.h
<SYSTEM>    _mkgmtime64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _mktime64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _msize;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_malloc.h
<SYSTEM>    _mul128;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    _recalloc;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_malloc.h
<SYSTEM>    _resetstkoflw;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\malloc.h
<SYSTEM>    _set_errno;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _set_se_translator;    C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\include\eh.h
<SYSTEM>    _stat64i32;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\sys\stat.h
<SYSTEM>    _strlwr_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\string.h
<SYSTEM>    _strupr_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\string.h
<SYSTEM>    _time64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _timespec64_get;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\time.h
<SYSTEM>    _ui64toa_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _ui64tow_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _ultoa_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\stdlib.h
<SYSTEM>    _ultow_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _umul128;    C:\Program Files (x86)\Windows Kits\8.1\Include\um\winnt.h
<SYSTEM>    _wcslwr_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    _wcsnset;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    _wcsnset_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    _wcsset;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    _wcsset_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    _wcstod_l;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _wcsupr_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstring.h
<SYSTEM>    _wctime64;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wtime.h
<SYSTEM>    _wmakepath_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _wsopen_dispatch;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wio.h
<SYSTEM>    _wsplitpath_s;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\corecrt_wstdlib.h
<SYSTEM>    _wstat64i32;    C:\Program Files (x86)\Windows Kits\10\Include\10.0.10240.0\ucrt\sys\stat.h
